seed,method_id,method,episodes,collision_count,out_of_road_count,goal_count,max_step_count,total_steps,collision_rmst_steps,collision_rate,collisions_per_1000_steps,combined_safety_failure_rate,goal_rate,max_step_completion_rate,mean_episode_steps,source_file,source_sha256,source_status
33,rnd,DQN + RND,300,86,234,0,0,22070,240.14259085871933,0.2866666666666667,3.896692342546443,1.0,0.0,0.0,73.56666666666666,04_data/raw/baselines/seed_33/rnd/all_episode_results.csv,3f577cd922f2539560fbf026c38b7dcb23df67d35003828b1e263752f33461d2,original_23_seed_archive
33,safetypool,SafetyPool,300,0,0,0,300,150000,500.0,0.0,0.0,0.0,0.0,1.0,500.0,04_data/raw/safetypool/seed_33/all_episode_results.csv,8796dc6d8f8eff3239effe2590dfe3fc0426c22f09c67fb2f2c06fc255243fd6,original_23_seed_archive
38,epsilon,Epsilon-Greedy,300,145,190,0,0,22692,90.11880626930125,0.48333333333333334,6.389917151419002,1.0,0.0,0.0,75.64,04_data/raw/baselines/seed_38/epsilon/all_episode_results.csv,f2dfeca16d21c2c48095173e83514a62883cc4a042edeb78fb69576284a73065,original_23_seed_archive
38,noisy,NoisyNet DQN,300,0,300,0,0,5637,500.0,0.0,0.0,1.0,0.0,0.0,18.79,04_data/raw/baselines/seed_38/noisy/all_episode_results.csv,e2cf2b6c5a9dc2b7d2a7158f49c391e449768ec732104d7be65d34986bfe5619,original_23_seed_archive
38,rnd,DQN + RND,300,160,164,1,0,23246,90.55526898745474,0.5333333333333333,6.88290458573518,0.9966666666666667,0.0033333333333333335,0.0,77.48666666666666,04_data/raw/baselines/seed_38/rnd/all_episode_results.csv,a60684db878f911111dfbbf807543009a1a48c63b1fa77189737ffbac71c61c2,original_23_seed_archive
38,safetypool,SafetyPool,300,158,166,1,1,23326,102.61147886219351,0.5266666666666666,6.773557403755466,0.9933333333333333,0.0033333333333333335,0.0033333333333333335,77.75333333333333,04_data/raw/safetypool/seed_38/all_episode_results.csv,c8c38acb7d76dca3f54faa5c1fbf7e06aec90816f7c374a784350538e812c5d2,original_23_seed_archive
42,epsilon,Epsilon-Greedy,300,157,167,1,0,23166,90.82002853533584,0.5233333333333333,6.777173443840111,0.9966666666666667,0.0033333333333333335,0.0,77.22,04_data/raw/baselines/seed_42/epsilon/all_episode_results.csv,7a13400bb920204525d0fce72908ac07e93648ab032218f9c622b50010490a67,original_23_seed_archive
42,noisy,NoisyNet DQN,300,160,164,1,0,23240,90.55164360014963,0.5333333333333333,6.884681583476764,0.9966666666666667,0.0033333333333333335,0.0,77.46666666666667,04_data/raw/baselines/seed_42/noisy/all_episode_results.csv,fee6deb646bdfc8ea21307f21dbf449f255785decf2b0be616c80e56528e5927,original_23_seed_archive
42,rnd,DQN + RND,300,143,185,0,0,22977,92.42371482673528,0.4766666666666667,6.223614919267093,1.0,0.0,0.0,76.59,04_data/raw/baselines/seed_42/rnd/all_episode_results.csv,0e3a06ae4b87d766cd43d22edfe57776d4d94cf8e1fa1d7efb40c354b9810a8a,original_23_seed_archive
42,safetypool,SafetyPool,300,51,300,0,0,5291,252.30626980846074,0.17,9.63900963900964,1.0,0.0,0.0,17.636666666666667,04_data/raw/safetypool/seed_42/all_episode_results.csv,cdb2ae0659731e559606efb3faefe5244cc7b1c078daef131063147a88461d1e,original_23_seed_archive
45,epsilon,Epsilon-Greedy,300,152,174,1,0,23234,91.63156020762881,0.5066666666666667,6.5421365240595675,0.9966666666666667,0.0033333333333333335,0.0,77.44666666666667,04_data/raw/baselines/seed_45/epsilon/all_episode_results.csv,79b52e76556bd084384c4eb75eaba36c5f1143b5d15727be644f71acce104845,original_23_seed_archive
