method,method_label,phase,episodes,phase_wall_time_seconds,phase_cpu_time_seconds,summed_episode_wall_time_seconds,summed_episode_cpu_time_seconds,average_wall_time_seconds_per_episode,average_cpu_time_seconds_per_episode
noisy,NoisyNet DQN,train,500,505.47183395199863,501.91339323600005,501.7539476520142,498.1935750539974,1.0035078953040284,0.9963871501079948
noisy,NoisyNet DQN,test,300,69.45256202999917,69.49742837100007,67.23373419797281,67.27783835399941,0.22411244732657604,0.22425946117999804
