environment,method_id,method,n_seeds,collision_rmst_iqm_steps,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,bootstrap_seed,iqm_definition,rmst_horizon_steps
HighwayEnv,epsilon,Epsilon-Greedy DQN,23,5.78931412612361,5.637606781743626,46.574498743526355,50000,20260724,"scipy.stats.trim_mean(values, 0.25)",500
HighwayEnv,noisy,NoisyNet DQN,23,5.68025641025641,5.656666666666666,6.5407692307692304,50000,20260724,"scipy.stats.trim_mean(values, 0.25)",500
HighwayEnv,rnd,DQN + RND,23,6.4352328210510015,5.684611958401539,120.67111571742903,50000,20260724,"scipy.stats.trim_mean(values, 0.25)",500
HighwayEnv,safetypool,SafetyPool,23,122.14573591657329,6.62634530793856,310.1411907861219,50000,20260724,"scipy.stats.trim_mean(values, 0.25)",500
