method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8,Karthikeya27adv8,train,500,0,0.0,247536,247536,10,0.02,0.04039816430741387,collision_or_out_of_road_or_policy_safety_stop,495.07199999999995,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8,Karthikeya27adv8,test,300,0,0.0,150000,150000,0,0.0,0.0,collision_or_out_of_road_or_policy_safety_stop,500.0,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
