method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8,Karthikeya27adv8,train,500,0,0.0,174026,174026,191,0.382,1.0975371496213209,collision_or_out_of_road_or_policy_safety_stop,348.05199999999996,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8,Karthikeya27adv8,test,300,0,0.0,46843,46843,213,0.71,4.547104156437461,collision_or_out_of_road_or_policy_safety_stop,156.14333333333332,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
