method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
Karthikeya27adv8,Karthikeya27adv8,train,500,0,10,247536,collision,500.0,0.0,0.0,0.02,0,0.0,10,0.02,0.04039816430741387,collision_or_out_of_road,495.07199999999995
Karthikeya27adv8,Karthikeya27adv8,test,300,0,0,150000,collision,500.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,collision_or_out_of_road,500.0
