environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,48,100048,77c24a538877ecb773498cffe9a28fbbc4921d9b422610dd2180909c484837cd,True,13,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,49,100049,60681e5b7aa6198dbb68bb24305e5e158eba8fd5b2ec784a802a9082b5ad8a2e,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,50,100050,0768c305223033a6772701f0d51aa996a69b5c657ecd18cf39a3b76405195e6e,True,10,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,51,100051,3a085b3d9ea16d11359123211e326a89bf42993c06c7fa52f5388d1fff2d46d5,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,52,100052,5bdfdaaca9619646d29ee3ef0c5e542757a4b248792226da915e57fc29b64f08,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,53,100053,081987e49b973cadd132af6a48489e43cf6719b05480326bda513b9908a80c2e,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,54,100054,50363e7e513089f781e5cc11bbc36171fabffa0ee2ab1f793fa2ee99e6f1eb4a,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,55,100055,0cb6c5ec090dd5c063572f2fc88b672ecb78e0f162315b4a58ba92d46ea7f3d7,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,56,100056,26d2d54252334ac41c6b9f0edcb1d65d0285cf17f0def588c5d52cb30b461d0a,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,57,100057,4866f92c9f4c8d2f5b6eab106af32bad154df074750bdd33aef20dbee45c9825,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,58,100058,9116c67db2025ea9e8b30e55127d891080f941ecb957a52a7c69216b969940c3,True,9,500,True,0
