method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
noisy,NoisyNet DQN,train,500,156,357,47462,collision,279.7395090984263,3.286839998314441,0.312,0.714,3,0.006,490,0.98,10.324048712654333,collision_or_out_of_road,95.7738465625
noisy,NoisyNet DQN,test,300,160,164,23240,collision,90.54266378235971,6.884681583476764,0.5333333333333333,0.5466666666666666,1,0.0033333333333333335,299,0.9966666666666667,12.865748709122203,collision_or_out_of_road,77.49222222222224
