episode,cumulative_pools_created
37,1
37,2
37,3
37,4
37,5
37,6
37,7
38,8
38,9
38,10
38,11
38,12
38,13
39,14
39,15
39,16
39,17
39,18
39,19
39,20
39,21
39,22
40,23
40,24
40,25
40,26
41,27
42,28
43,29
43,30
44,31
49,32
49,33
50,34
57,35
58,36
58,37
59,38
60,39
62,40
62,41
62,42
62,43
62,44
62,45
62,46
62,47
62,48
70,49
70,50
73,51
75,52
75,53
75,54
76,55
76,56
76,57
76,58
76,59
78,60
78,61
78,62
78,63
78,64
78,65
83,66
84,67
84,68
84,69
84,70
84,71
84,72
84,73
84,74
86,75
87,76
88,77
88,78
88,79
88,80
88,81
88,82
88,83
88,84
88,85
89,86
90,87
92,88
92,89
93,90
94,91
94,92
94,93
95,94
96,95
96,96
96,97
98,98
98,99
98,100
98,101
98,102
99,103
99,104
99,105
99,106
99,107
99,108
100,109
100,110
100,111
100,112
100,113
100,114
101,115
101,116
101,117
103,118
103,119
104,120
104,121
104,122
108,123
110,124
110,125
110,126
110,127
110,128
110,129
111,130
111,131
112,132
112,133
112,134
113,135
114,136
114,137
114,138
114,139
114,140
114,141
117,142
117,143
117,144
117,145
118,146
120,147
121,148
122,149
123,150
123,151
123,152
123,153
123,154
123,155
124,156
124,157
124,158
124,159
124,160
124,161
124,162
126,163
128,164
128,165
129,166
129,167
131,168
132,169
133,170
133,171
134,172
134,173
135,174
135,175
135,176
135,177
135,178
135,179
136,180
136,181
136,182
136,183
136,184
137,185
137,186
137,187
137,188
137,189
137,190
138,191
138,192
138,193
138,194
140,195
140,196
140,197
140,198
140,199
141,200
142,201
143,202
143,203
144,204
145,205
146,206
146,207
146,208
146,209
146,210
147,211
149,212
151,213
152,214
153,215
154,216
154,217
154,218
154,219
155,220
155,221
157,222
157,223
157,224
158,225
158,226
160,227
160,228
160,229
160,230
162,231
162,232
164,233
164,234
165,235
166,236
166,237
166,238
167,239
167,240
167,241
167,242
170,243
170,244
170,245
171,246
172,247
172,248
173,249
174,250
175,251
176,252
176,253
176,254
176,255
180,256
181,257
181,258
183,259
183,260
183,261
184,262
184,263
184,264
184,265
184,266
184,267
185,268
185,269
185,270
185,271
187,272
188,273
188,274
189,275
190,276
190,277
191,278
191,279
191,280
191,281
195,282
195,283
195,284
196,285
197,286
199,287
202,288
205,289
206,290
207,291
207,292
207,293
208,294
208,295
208,296
208,297
209,298
210,299
210,300
210,301
210,302
211,303
211,304
212,305
212,306
212,307
212,308
218,309
218,310
218,311
218,312
221,313
221,314
221,315
221,316
222,317
223,318
223,319
224,320
225,321
228,322
229,323
229,324
229,325
229,326
229,327
232,328
232,329
232,330
233,331
233,332
234,333
234,334
235,335
236,336
237,337
237,338
237,339
237,340
238,341
239,342
239,343
239,344
241,345
241,346
241,347
241,348
242,349
242,350
242,351
243,352
243,353
245,354
245,355
245,356
245,357
247,358
249,359
249,360
249,361
250,362
250,363
251,364
251,365
262,366
265,367
265,368
265,369
267,370
267,371
269,372
270,373
270,374
271,375
271,376
271,377
271,378
272,379
272,380
272,381
274,382
274,383
276,384
279,385
279,386
279,387
280,388
280,389
281,390
285,391
286,392
286,393
289,394
291,395
293,396
295,397
295,398
295,399
296,400
297,401
298,402
301,403
302,404
306,405
306,406
306,407
307,408
307,409
307,410
307,411
309,412
310,413
313,414
313,415
313,416
313,417
314,418
317,419
325,420
326,421
329,422
329,423
333,424
334,425
334,426
334,427
334,428
334,429
335,430
340,431
341,432
341,433
341,434
342,435
344,436
345,437
349,438
349,439
349,440
351,441
352,442
352,443
353,444
372,445
373,446
376,447
377,448
377,449
378,450
378,451
378,452
378,453
378,454
378,455
378,456
392,457
394,458
394,459
394,460
395,461
395,462
396,463
396,464
396,465
396,466
397,467
397,468
397,469
397,470
397,471
397,472
397,473
397,474
397,475
399,476
399,477
399,478
399,479
399,480
399,481
399,482
399,483
399,484
399,485
399,486
399,487
399,488
399,489
399,490
399,491
399,492
399,493
399,494
399,495
399,496
399,497
