method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
noisy,NoisyNet DQN,train,500,166,351,47181,collision,259.357302609488,3.51836544371675,0.332,0.702,3,0.006,486,0.972,10.300756660520126,collision_or_out_of_road,95.34426766125489
noisy,NoisyNet DQN,test,300,153,173,22932,collision,90.73040984829343,6.671899529042387,0.51,0.5766666666666667,1,0.0033333333333333335,299,0.9966666666666667,13.038548752834467,collision_or_out_of_road,76.47037037037038
