method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8,Karthikeya27adv8,train,500,0,0.0,21422,21422,494,0.988,23.060405190925216,collision_or_out_of_road_or_policy_safety_stop,42.84399999999998,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8,Karthikeya27adv8,test,300,0,0.0,5218,5218,300,1.0,57.49329244921426,collision_or_out_of_road_or_policy_safety_stop,17.393333333333327,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
